,community_areas,ll,lat,lon
0,Rogers Park,"42.009574,-87.6755503",42.009574,-87.6755503
1,West Ridge,"41.8797881,-87.63311335576324",41.8797881,-87.63311336
2,Uptown,"41.9694501,-87.6605129",41.9694501,-87.6605129
3,Lincoln Square,"41.9685116,-87.6886528",41.9685116,-87.6886528
4,North Center,"41.8586566,-87.6121985",41.8586566,-87.6121985
5,Lake View,"41.8853821,-87.6279077",41.8853821,-87.6279077
6,Lincoln Park,"41.9399447,-87.63611961353928",41.9399447,-87.63611961
7,Near North Side,"41.8964706,-87.6357194",41.8964706,-87.6357194
8,Edison Park,"42.0024836,-87.8182194",42.0024836,-87.8182194
9,Norwood Park,"41.9880657,-87.8027487",41.9880657,-87.8027487
10,Jefferson Park,"41.9706399,-87.760826",41.9706399,-87.760826
11,Forest Glen,"41.978588349999995,-87.75193466758846",41.97858835,-87.75193467
12,North Park,"41.9805872,-87.7208917",41.9805872,-87.7208917
13,Albany Park,"40.249168,-94.338345",40.249168,-94.338345
14,Portage Park,"41.95520085,-87.76459295926036",41.95520085,-87.76459296
15,Irving Park,"41.9528456,-87.7290161",41.9528456,-87.7290161
16,Dunning,"41.952809,-87.7964493",41.952809,-87.7964493
17,Montclare,"41.9271534,-87.8039141",41.9271534,-87.8039141
18,Belmont Cragin,"41.9385081,-87.7499325",41.9385081,-87.7499325
19,Hermosa,"41.9172459,-87.7361456",41.9172459,-87.7361456
20,Avondale,"41.7020156,-87.7898857",41.7020156,-87.7898857
21,Logan Square,"41.9295769,-87.7081313",41.9295769,-87.7081313
22,Humboldt Park,"41.904292600000005,-87.70188253089864",41.9042926,-87.70188253
23,West Town,"41.9014213,-87.6861661",41.9014213,-87.6861661
24,Austin,"41.8880316,-87.7648642",41.8880316,-87.7648642
25,West Garfield Park,"41.8805878,-87.7292227",41.8805878,-87.7292227
26,East Garfield Park,"41.8808657,-87.7028328",41.8808657,-87.7028328
27,Near West Side,"41.8964706,-87.6357194",41.8964706,-87.6357194
28,North Lawndale,"41.8600324,-87.7183883",41.8600324,-87.7183883
29,South Lawndale,"41.8539606,-87.7179739",41.8539606,-87.7179739
30,Near South Side,"41.8964706,-87.6357194",41.8964706,-87.6357194
31,Armour Square,"41.7887757,-87.6016841",41.7887757,-87.6016841
32,Douglas,"41.830361350000004,-87.62386245227128",41.83036135,-87.62386245
33,Oakland,"42.6797057,-83.2975259",42.6797057,-83.2975259
34,Fuller Park,"41.8113767,-87.634645069852",41.8113767,-87.63464507
35,Grand Boulevard,"41.6357522,-87.4496703",41.6357522,-87.4496703
36,Kenwood,"41.938457,-87.63905327822111",41.938457,-87.63905328
37,Washington Park,"41.7959281,-87.61115114255567",41.7959281,-87.61115114
38,Hyde Park,"41.8014328,-87.5871893",41.8014328,-87.5871893
39,Woodlawn,"41.7515441,-87.5950635",41.7515441,-87.5950635
40,South Shore,"41.7651657,-87.5656415",41.7651657,-87.5656415
41,Chatham,"41.7472625,-87.6098561",41.7472625,-87.6098561
42,Avalon Park,"41.742255549999996,-87.59473451586688",41.74225555,-87.59473452
43,South Chicago,"41.7345874,-87.5513222",41.7345874,-87.5513222
44,Burnside,"41.7244847,-87.59835977095553",41.7244847,-87.59835977
45,Calumet Heights,"41.7267016,-87.5625461",41.7267016,-87.5625461
46,Roseland,"41.7172208,-87.60952492716078",41.7172208,-87.60952493
47,Pullman,"41.694537,-87.60646447612375",41.694537,-87.60646448
48,South Deering,"41.6646114,-87.56229364789623",41.6646114,-87.56229365
49,East Side,"41.7135693,-87.5327809",41.7135693,-87.5327809
50,West Pullman,"41.6750456,-87.637823",41.6750456,-87.637823
51,Riverdale,"41.6678347,-87.6049644",41.6678347,-87.6049644
52,Hegewisch,"41.6536462,-87.5469885",41.6536462,-87.5469885
53,Garfield Ridge,"41.7947032,-87.6311867",41.7947032,-87.6311867
54,Archer Heights,"41.804075,-87.7347494005478",41.804075,-87.7347494
55,Brighton Park,"41.82948515,-87.69813059370775",41.82948515,-87.69813059
56,McKinley Park,"41.82489365,-87.67968357183905",41.82489365,-87.67968357
57,Bridgeport,"41.8388939,-87.6667101",41.8388939,-87.6667101
58,New City,"41.90888475,-87.64748391604371",41.90888475,-87.64748392
59,West Elsdon,"41.7936439,-87.72172",41.7936439,-87.72172
60,Gage Park,"41.793627650000005,-87.68496426744554",41.79362765,-87.68496427
61,Clearing,"41.78544375,-87.7508277936727",41.78544375,-87.75082779
62,West Lawn,"41.9027955,-87.6672587",41.9027955,-87.6672587
63,Chicago Lawn,"41.77918055,-87.70873684829493",41.77918055,-87.70873685
64,West Englewood,"41.7784513,-87.6437453059056",41.7784513,-87.64374531
65,Englewood,"41.7798023,-87.6282453",41.7798023,-87.6282453
66,Ashburn,"41.7475332,-87.7111628",41.7475332,-87.7111628
67,Auburn Gresham,"41.7539228,-87.6467163",41.7539228,-87.6467163
68,Beverly Hills,"41.6988629,-87.6697797",41.6988629,-87.6697797
69,Washington Heights,"41.7055956,-87.6559311",41.7055956,-87.6559311
70,Mount Greenwood,"41.6982433,-87.7054081",41.6982433,-87.7054081
71,Morgan Park,"41.6903117,-87.6667156",41.6903117,-87.6667156
72,OHare,"41.9751638,-87.8442422",41.9751638,-87.8442422
73,Edgewater,"41.999149200000005,-87.65737041681818",41.9991492,-87.65737042
74,Lower West Side,"41.8523, -87.6660",41.8523,-87.666
75,Loop,"41.881944, -87.627778",41.881944,-87.627778
76,Greater Grand Crossing,"41.7657,-87.6153",41.7657,-87.6153
